,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 27 - Inner 0,66,7,3,0.6755689373789195,19,True,0.8087087842939844,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 27 - Inner 1,84,4,3,0.8673795627129661,26,True,0.7792600050339793,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 27 - Inner 2,137,8,2,0.783874843859554,14,True,0.8069468915177448,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 27 - Inner 3,185,4,1,0.9869873079592906,8,True,0.8094638811980871,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 27 - Inner 4,155,3,1,0.6616970106314235,10,True,0.801661213189026,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 27 - Inner 5,197,8,3,0.8123152132671618,8,True,0.7956204379562044,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 28 - Inner 0,168,4,1,0.8497439091690493,8,True,0.8107223760382583,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 28 - Inner 1,110,4,3,0.8700757721389492,27,True,0.8119808708784294,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 28 - Inner 2,153,3,2,0.9418292994425967,23,True,0.8251950667002266,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 28 - Inner 3,75,5,3,0.6090590283522961,28,True,0.8361439718097156,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 28 - Inner 4,146,3,2,0.5853977174172329,5,True,0.820286936823559,0.0,0.0,1.0,0.8253012048192772
Outer 28 - Inner 5,155,2,3,0.6773745964875171,23,True,0.8452051346589479,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 29 - Inner 0,66,9,4,0.9530862387028021,14,True,0.598036748049333,0.0,0.0,1.0,0.8253012048192772
Outer 29 - Inner 1,189,6,3,0.9611356025600333,24,True,0.617669267556003,0.0,0.0,1.0,0.8253012048192772
Outer 29 - Inner 2,121,9,4,0.8241769065873671,25,True,0.6398187767430153,0.0,0.0,0.9854014598540146,0.8132530120481928
Outer 29 - Inner 3,106,6,3,0.5543401247306636,13,True,0.634029700478228,0.0,0.0,1.0,0.8253012048192772
Outer 29 - Inner 4,137,7,2,0.9528157322244435,10,True,0.6367983891266046,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 29 - Inner 5,179,5,4,0.8162010588529449,16,True,0.6408255726151523,0.0,0.0,1.0,0.8253012048192772
Outer 30 - Inner 0,180,3,3,0.9077918265616063,30,True,0.8947898313616914,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 30 - Inner 1,139,3,3,0.9778847936266453,23,True,0.8864837654165618,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 30 - Inner 2,174,7,4,0.6068534798883671,27,True,0.8993204127863076,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 30 - Inner 3,151,2,4,0.9963008195526237,6,True,0.9003272086584445,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 30 - Inner 4,137,3,3,0.977093097982074,25,True,0.8608104706770703,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 30 - Inner 5,153,7,3,0.5831611844024671,18,True,0.8688648376541657,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
